StationUID,StationID,StationName/Zh_tw,StationName/En,StationPosition/PositionLon,StationPosition/PositionLat,StationAddress,StationPhone,StationClass,StationURL
TRA-0900,0900,基隆,Keelung,121.74013,25.13401,104基隆市中山區民治里1鄰中山一路16之 1號,02-24263743,1,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/0900
TRA-0910,0910,三坑,Sankeng,121.74202,25.12305,20045基隆市仁愛區德厚里龍安街 206 號,02-24230289,4,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/0910
TRA-0920,0920,八堵,Badu,121.72898,25.10843,20541基隆市暖暖區八南里八堵路 142 號,02-24560841,2,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/0920
TRA-0930,0930,七堵,Qidu,121.71415,25.09294,20646基隆市七堵區長興里東新街 2 號,02-24553426,1,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/0930
TRA-0940,0940,百福,Baifu,121.69373,25.07803,20651基隆市七堵區堵南里明德三路 1 之 1 號,02-24528372,4,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/0940
TRA-0950,0950,五堵,Wudu,121.66764,25.07784,22178新北市汐止區長安里長安路 17 號,02-86476200,4,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/0950
TRA-0960,0960,汐止,Xizhi,121.66244,25.06894,22166新北市汐止區信望里信義路 1 號,02-26415096,2,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/0960
TRA-0970,0970,汐科,Xike,121.64669,25.06241,22184新北市汐止區大同里大同路二段 182 號,02-26499817#8730,4,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/0970
TRA-0980,0980,南港,Nangang,121.60706,25.05348,115臺北市南港區南港里南港路一段 313 號,02-27838645,1,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/0980
TRA-0990,0990,松山,Songshan,121.57807,25.04936,11088臺北市信義區永吉里松山路 11 號B1,02-27673819,1,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/0990
TRA-1000,1000,臺北,Taipei,121.51784,25.04771,100230臺北市中正區黎明里北平西路 3 號,02-23713558,0,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/1000
TRA-1001,1001,臺北-環島,Taipei Surround Island,121.51793,25.04811,100230臺北市中正區,,4,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/1001
TRA-1010,1010,萬華,Wanhua,121.49984,25.03348,108220臺北市萬華區富福里康定路 382 號,02-23020481,1,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/1010
TRA-1020,1020,板橋,Banqiao,121.46352,25.01469,220新北市板橋區新民里站前路,02-89691036,1,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/1020
TRA-1030,1030,浮洲,Fuzhou,121.44477,25.00419,22058新北市板橋區僑中里僑中二街 156 號,02-23815226#4665,4,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/1030
TRA-1040,1040,樹林,Shulin,121.42481,24.99121,23845新北市樹林區樹北里鎮前街 112 號,02-26812052,1,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/1040
TRA-1050,1050,南樹林,South Shulin,121.40891,24.98034,23846新北市樹林區東山里中山路二段 230 號,02-26812052,4,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/1050
TRA-1060,1060,山佳,Shanjia,121.39273,24.97233,23852新北市樹林區中山里山佳街 28 號,02-26808874,3,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/1060
TRA-1070,1070,鶯歌,Yingge,121.35535,24.95432,23942新北市鶯歌區東鶯里文化路 68-1號,02-26792004,2,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/1070
TRA-1080,1080,桃園,Taoyuan,121.31399,24.98941,33041桃園市桃園區武陵里中正路 1 號,03-3767050,1,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/1080
TRA-1090,1090,內壢,Neili,121.25814,24.97287,32072桃園市中壢區中原里中華路一段 267 號,03-4559725,3,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/1090
TRA-1100,1100,中壢,Zhongli_Taoyuan,121.22571,24.95382,32041桃園市中壢區石頭里中和路 139 號,03-4223235,1,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/1100
TRA-1110,1110,埔心,Puxin,121.18366,24.91945,32653桃園市楊梅區埔心里永美路 208 號,03-4827100,3,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/1110
TRA-1120,1120,楊梅,Yangmei,121.14634,24.91391,32643桃園市楊梅區楊梅里大成路 256 號,03-4782893,3,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/1120
TRA-1130,1130,富岡,Fugang,121.08313,24.93462,32649桃園市楊梅區富岡里成功路 37 號,03-4723754,3,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/1130
TRA-1140,1140,新富,Xinfu,121.06759,24.93107,32649桃園市楊梅區富豐里富全街 1 號,03-4723754,5,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/1140
TRA-1150,1150,北湖,Beihu,121.05586,24.92191,30371新竹縣湖口鄉東興村北湖路 1 號,03-5993850,4,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/1150
TRA-1160,1160,湖口,Hukou,121.04412,24.90292,30342新竹縣湖口鄉仁勢村中山路二段 121 號,03-5992192,3,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/1160
TRA-1170,1170,新豐,Xinfeng,120.99654,24.86961,30442新竹縣新豐鄉山崎村新興路 202 號,03-5596314,3,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/1170
TRA-1180,1180,竹北,Zhubei,121.00936,24.83892,30265新竹縣竹北市竹義里和平街 59 號,03-5552024,3,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/1180
TRA-1190,1190,北新竹,North Hsinchu,120.98385,24.80876,30060新竹市 東區東園里中華路一段 291 之 2 號,03-5237441,4,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/1190
TRA-1191,1191,千甲,Qianjia,121.00301,24.80669,30059新竹市 東區水源里千甲路 142 號,03-5237441,4,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/1191
TRA-1192,1192,新莊,Xinzhuang,121.02182,24.78819,30073新竹市 東區新莊里關東路 310 號,03-5237441,4,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/1192
TRA-1193,1193,竹中,Zhuzhong,121.03117,24.78125,31061新竹縣竹東鎮頭重里竹中路 145 號,03-5962042,4,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/1193
TRA-1194,1194,六家,Liujia,121.03921,24.80751,30273新竹縣竹北市隘口里復興三路二段 229 號,03-5962042,4,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/1194
TRA-1201,1201,上員,Shangyuan,121.05554,24.77797,310新竹縣竹東鎮上員里光明路 (無站房),03-5962042,5,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/1201
TRA-1202,1202,榮華,Ronghua,121.08296,24.74851,310新竹縣竹東鎮仁愛里北興路 (無站房),03-5962042,5,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/1202
TRA-1203,1203,竹東,Zhudong,121.09465,24.73811,31047新竹縣竹東鎮雞林里東林路 196 號,03-5962042,2,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/1203
TRA-1204,1204,橫山,Hengshan,121.11657,24.72051,31241新竹縣橫山鄉橫山村橫山路 97 號 (無站房),03-5962042,5,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/1204
TRA-1205,1205,九讚頭,Jiuzantou,121.13621,24.72068,31242新竹縣橫山鄉大肚村中豐路二段 286 巷 29 號,03-5962042,4,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/1205
TRA-1206,1206,合興,Hexing,121.15434,24.71649,31243新竹縣橫山鄉力行村中山街一段 17 號,03-5962042,5,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/1206
TRA-1207,1207,富貴,Fugui,121.16729,24.71553,312新竹縣橫山鄉豐田村中山街一段 (無站房),03-5962042,5,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/1207
